Date,Capital,Amount Earned
2018-09-13,1556.526237174981,899.096237174981
2018-09-14,1556.9094539345733,899.4794539345734
2018-09-17,1557.292765042132,899.8627650421321
2018-09-18,1557.6761705208855,900.2461705208856
2018-09-19,1558.059670394068,900.6296703940681
2018-09-20,1558.443264684919,901.0132646849191
2018-09-21,1558.8269534166845,901.3969534166846
2018-09-24,1559.2107366126158,901.7807366126159
2018-09-25,1559.59461429597,902.16461429597
2018-09-26,1559.9785864900095,902.5485864900096
2018-09-27,1560.3626532180035,902.9326532180036
2018-09-28,1560.7468145032258,903.3168145032258
2018-10-01,1561.1310703689567,903.7010703689567
2018-10-02,1561.5154208384818,904.0854208384818
2018-10-03,1561.899865935092,904.4698659350921
2018-10-04,1562.2844056820857,904.8544056820857
2018-10-05,1562.6690401027647,905.2390401027648
2018-10-08,1563.0537692204382,905.6237692204382
2018-10-09,1563.4385930584203,906.0085930584204
2018-10-10,1563.8235116400315,906.3935116400315
2018-10-11,1564.2085249885974,906.7785249885975
2018-10-15,1564.5936331274497,907.1636331274498
2018-10-16,1564.9788360799257,907.5488360799258
2018-10-17,1565.3641338693687,907.9341338693688
2018-10-18,1565.7495265191274,908.3195265191274
2018-10-19,1566.1350140525565,908.7050140525565
2018-10-22,1566.5205964930165,909.0905964930165
2018-10-23,1566.9062738638731,909.4762738638732
2018-10-24,1567.2920461884987,909.8620461884988
2018-10-25,1567.6779134902706,910.2479134902707
2018-10-26,1568.0638757925722,910.6338757925722
2018-10-29,1568.4499331187924,911.0199331187924
2018-10-30,1568.8360854923264,911.4060854923265
2018-10-31,1569.222332936575,911.792332936575
2018-11-01,1569.608675474944,912.178675474944
2018-11-05,1569.9951131308462,912.5651131308463
2018-11-06,1570.3816459276993,912.9516459276994
2018-11-07,1570.7682738889268,913.3382738889269
2018-11-08,1571.1549970379585,913.7249970379586
2018-11-09,1571.5418153982293,914.1118153982294
2018-11-12,1571.9287289931808,914.4987289931809
2018-11-13,1572.3157378462588,914.8857378462588
2018-11-14,1572.702841980917,915.272841980917
2018-11-16,1573.0900414206128,915.6600414206129
2018-11-19,1573.4773361888106,916.0473361888106
2018-11-20,1573.8647263089802,916.4347263089802
2018-11-21,1574.2522118045977,916.8222118045977
2018-11-22,1574.639792699144,917.209792699144
2018-11-23,1575.0274690161066,917.5974690161066
2018-11-26,1575.4152407789786,917.9852407789787
2018-11-27,1575.8031080112585,918.3731080112585
2018-11-28,1576.191070736451,918.761070736451
2018-11-29,1576.5791289780664,919.1491289780664
2018-11-30,1576.967282759621,919.537282759621
2018-12-03,1577.3555321046365,919.9255321046365
2018-12-04,1577.743877036641,920.313877036641
2018-12-05,1578.1323175791676,920.7023175791677
2018-12-06,1578.5208537557555,921.0908537557556
2018-12-07,1578.9094855899505,921.4794855899505
2018-12-10,1579.2982131053031,921.8682131053032
2018-12-11,1579.6870363253697,922.2570363253698
2018-12-12,1580.0759552737131,922.6459552737132
2018-12-13,1580.4649699739018,923.0349699739019
2018-12-14,1580.8540804495094,923.4240804495095
2018-12-17,1581.2432867241162,923.8132867241162
2018-12-18,1581.632588821308,924.202588821308
2018-12-19,1582.0219867646758,924.5919867646759
2018-12-20,1582.4114805778174,924.9814805778175
2018-12-21,1582.8010702843358,925.3710702843358
2018-12-24,1583.19075590784,925.76075590784
2018-12-26,1583.5805374719444,926.1505374719444
2018-12-27,1583.9704150002701,926.5404150002702
2018-12-28,1584.3603885164434,926.9303885164435
2018-12-31,1584.7504580440961,927.3204580440962
2019-01-02,1585.1406236068667,927.7106236068668
2019-01-03,1585.530885228399,928.1008852283991
2019-01-04,1585.9212429323425,928.4912429323425
2019-01-07,1586.3116967423525,928.8816967423526
2019-01-08,1586.7022466820906,929.2722466820907
2019-01-09,1587.092892775224,929.6628927752241
2019-01-10,1587.4836350454254,930.0536350454255
2019-01-11,1587.8744735163739,930.4444735163739
2019-01-14,1588.2654082117538,930.8354082117538
2019-01-15,1588.6564391552558,931.2264391552559
2019-01-16,1589.0475663705759,931.6175663705759
2019-01-17,1589.4387898814164,932.0087898814164
2019-01-18,1589.8301097114852,932.4001097114852
2019-01-21,1590.2215258844963,932.7915258844963
2019-01-22,1590.6130384241692,933.1830384241692
2019-01-23,1591.0046473542293,933.5746473542293
2019-01-24,1591.396352698408,933.9663526984081
2019-01-25,1591.7881544804427,934.3581544804427
2019-01-28,1592.180052724076,934.750052724076
2019-01-29,1592.5720474530565,935.1420474530565
2019-01-30,1592.9641386911396,935.5341386911397
2019-01-31,1593.3563264620855,935.9263264620855
2019-02-01,1593.7486107896607,936.3186107896607
2019-02-04,1594.1409916976374,936.7109916976375
2019-02-05,1594.5334692097933,937.1034692097934
2019-02-06,1594.926043349913,937.4960433499131
2019-02-07,1595.318714141786,937.888714141786
2019-02-08,1595.7114816092078,938.2814816092078
2019-02-11,1596.10434577598,938.67434577598
2019-02-12,1596.4973066659102,939.0673066659102
2019-02-13,1596.8903643028116,939.4603643028116
2019-02-14,1597.283518710503,939.853518710503
2019-02-15,1597.6767699128095,940.2467699128096
2019-02-18,1598.0701179335622,940.6401179335622
2019-02-19,1598.4635627965974,941.0335627965975
2019-02-20,1598.8571045257584,941.4271045257584
2019-02-21,1599.2507431448926,941.8207431448926
2019-02-22,1599.644478677855,942.214478677855
2019-02-25,1600.0383111485055,942.6083111485055
2019-02-26,1600.4322405807104,943.0022405807105
2019-02-27,1600.8262669983417,943.3962669983417
2019-02-28,1601.2203904252767,943.7903904252768
2019-03-01,1601.6146108853998,944.1846108853998
2019-03-06,1602.0089284025998,944.5789284025999
2019-03-07,1602.4033430007726,944.9733430007726
2019-03-08,1602.7978547038194,945.3678547038195
2019-03-11,1603.192463535648,945.762463535648
2019-03-12,1603.5871695201704,946.1571695201704
2019-03-13,1603.9819726813064,946.5519726813064
2019-03-14,1604.3768730429808,946.9468730429809
2019-03-15,1604.7718706291241,947.3418706291242
2019-03-18,1605.1669654636733,947.7369654636733
2019-03-19,1605.5621575705707,948.1321575705707
2019-03-20,1605.9574469737645,948.5274469737645
2019-03-21,1606.3528336972097,948.9228336972097
2019-03-22,1606.7483177648662,949.3183177648663
2019-03-25,1607.1438992007002,949.7138992007002
2019-03-26,1607.5395780286835,950.1095780286836
2019-03-27,1607.9353542727943,950.5053542727943
2019-03-28,1608.3312279570164,950.9012279570164
2019-03-29,1608.7271991053397,951.2971991053397
2019-04-01,1609.1232677417595,951.6932677417595
2019-04-02,1609.5194338902777,952.0894338902777
2019-04-03,1609.9156975749015,952.4856975749016
2019-04-04,1610.3120588196446,952.8820588196446
2019-04-05,1610.7085176485261,953.2785176485262
2019-04-08,1611.1050740855712,953.6750740855713
2019-04-09,1611.5017281548112,954.0717281548112
2019-04-10,1611.898479880283,954.4684798802831
2019-04-11,1612.2953292860298,954.8653292860298
2019-04-12,1612.6922763961004,955.2622763961004
2019-04-15,1613.089321234549,955.6593212345491
2019-04-16,1613.486463825437,956.0564638254372
2019-04-17,1613.8837041928311,956.4537041928312
2019-04-18,1614.2810423608037,956.8510423608037
2019-04-22,1614.678478353433,957.2484783534331
2019-04-23,1615.0760121948038,957.6460121948038
2019-04-24,1615.4736439090063,958.0436439090064
2019-04-25,1615.8713735201368,958.4413735201368
2019-04-26,1616.2692010522976,958.8392010522977
2019-04-29,1616.667126529597,959.237126529597
2019-04-30,1617.0651499761489,959.6351499761489
2019-05-02,1617.463271416073,960.033271416073
2019-05-03,1617.8614908734958,960.4314908734958
2019-05-06,1618.259808372549,960.8298083725491
2019-05-07,1618.6582239373706,961.2282239373707
2019-05-08,1619.0567375921044,961.6267375921044
2019-05-09,1619.4553493608996,962.0253493608997
2019-05-10,1619.8540592679126,962.4240592679126
2019-05-13,1620.2528673373042,962.8228673373043
2019-05-14,1620.651773593243,963.221773593243
2019-05-15,1621.0507780599016,963.6207780599017
2019-05-16,1621.44988076146,964.0198807614601
2019-05-17,1621.8490817221034,964.4190817221034
2019-05-20,1622.2483809660237,964.8183809660237
2019-05-21,1622.6477785174175,965.2177785174175
2019-05-22,1623.0472744004885,965.6172744004886
2019-05-23,1623.4468686394462,966.0168686394462
2019-05-24,1623.8465612585055,966.4165612585056
2019-05-27,1624.2463522818873,966.8163522818874
2019-05-28,1624.6462417338194,967.2162417338194
2019-05-29,1625.0462296385342,967.6162296385343
2019-05-30,1625.4463160202713,968.0163160202713
2019-05-31,1625.8465009032755,968.4165009032755
2019-06-03,1626.2467843117981,968.8167843117982
2019-06-04,1626.6471662700956,969.2171662700956
2019-06-05,1627.0476468024315,969.6176468024315
2019-06-06,1627.4482259330744,970.0182259330744
2019-06-07,1627.848903686299,970.4189036862991
2019-06-10,1628.249680086387,970.8196800863869
2019-06-11,1628.6505551576245,971.2205551576245
2019-06-12,1629.0515289243044,971.6215289243045
2019-06-13,1629.4526014107257,972.0226014107258
2019-06-14,1629.8537726411935,972.4237726411935
2019-06-17,1630.2550426400176,972.8250426400176
2019-06-18,1630.6564114315156,973.2264114315157
2019-06-19,1631.0578790400102,973.6278790400103
2019-06-21,1631.4594454898302,974.0294454898302
2019-06-24,1631.86111080531,974.4311108053101
2019-06-25,1632.2628750107904,974.8328750107904
2019-06-26,1632.6647381306182,975.2347381306182
2019-06-27,1633.066700189146,975.6367001891462
2019-06-28,1633.468761210733,976.038761210733
2019-07-01,1633.8709212197432,976.4409212197432
2019-07-02,1634.2731802405476,976.8431802405477
2019-07-03,1634.675538297523,977.245538297523
2019-07-04,1635.077995415052,977.6479954150522
2019-07-05,1635.4805516175234,978.0505516175234
2019-07-08,1635.883206929332,978.4532069293319
2019-07-09,1636.2859613748783,978.8559613748783
2019-07-10,1636.6888149785686,979.2588149785687
2019-07-11,1637.0917677648167,979.6617677648168
2019-07-12,1637.4948197580406,980.0648197580407
2019-07-15,1637.8979709826651,980.4679709826652
2019-07-16,1638.3012214631215,980.8712214631215
2019-07-17,1638.704571223846,981.274571223846
2019-07-18,1639.1080202892815,981.6780202892816
2019-07-19,1639.5115686838767,982.0815686838768
2019-07-22,1639.915216432087,982.485216432087
2019-07-23,1640.3189635583728,982.8889635583729
2019-07-24,1640.722810087201,983.292810087201
2019-07-25,1641.1267560430447,983.6967560430447
2019-07-26,1641.5308014503826,984.1008014503826
2019-07-29,1641.9349463336998,984.5049463336999
2019-07-30,1642.3391907174873,984.9091907174874
2019-07-31,1642.7435346262423,985.3135346262424
2019-08-01,1643.1479780844672,985.7179780844673
2019-08-02,1643.5218106809614,986.0918106809614
2019-08-05,1643.8957283281093,986.4657283281093
2019-08-06,1644.2697310452613,986.8397310452614
2019-08-07,1644.6438188517714,987.2138188517714
2019-08-08,1645.0179917669984,987.5879917669985
2019-08-09,1645.3922498103052,987.9622498103053
2019-08-12,1645.7665930010596,988.3365930010597
2019-08-13,1646.1410213586335,988.7110213586335
2019-08-14,1646.5155349024028,989.0855349024029
2019-08-15,1646.8901336517483,989.4601336517484
2019-08-16,1647.2648176260554,989.8348176260555
2019-08-19,1647.6395868447134,990.2095868447135
2019-08-20,1648.0144413271164,990.5844413271165
2019-08-21,1648.3893810926627,990.9593810926627
2019-08-22,1648.764406160755,991.3344061607551
2019-08-23,1649.1395165508004,991.7095165508005
2019-08-26,1649.5147122822111,992.0847122822112
2019-08-27,1649.8899933744024,992.4599933744024
2019-08-28,1650.265359846795,992.8353598467951
2019-08-29,1650.6408117188137,993.2108117188137
2019-08-30,1651.0163490098878,993.5863490098878
2019-09-02,1651.391971739451,993.9619717394511
2019-09-03,1651.7676799269416,994.3376799269416
2019-09-04,1652.1434735918017,994.7134735918017
2019-09-05,1652.5193527534784,995.0893527534785
2019-09-06,1652.8953174314236,995.4653174314236
2019-09-09,1653.2713676450924,995.8413676450924
2019-09-10,1653.6475034139453,996.2175034139453
2019-09-11,1654.023724757447,996.5937247574471
2019-09-12,1654.4000316950667,996.9700316950667
2019-09-13,1654.7764242462774,997.3464242462775
2019-09-16,1655.1529024305578,997.7229024305578
2019-09-17,1655.5294662673896,998.0994662673896
2019-09-18,1655.90611577626,998.4761157762601
2019-09-19,1656.2828509766603,998.8528509766603
2019-09-20,1656.6285503333163,999.1985503333163
2019-09-23,1656.974321844342,999.5443218443421
2019-09-24,1657.3201655247976,999.8901655247977
2019-09-25,1657.666081389746,1000.2360813897461
2019-09-26,1658.0120694542538,1000.5820694542539
2019-09-27,1658.3581297333903,1000.9281297333904
2019-09-30,1658.7042622422287,1001.2742622422287
2019-10-01,1659.0504669958436,1001.6204669958437
2019-10-02,1659.3967440093152,1001.9667440093152
2019-10-03,1659.743093297725,1002.313093297725
2019-10-04,1660.089514876158,1002.6595148761581
2019-10-07,1660.436008759703,1003.0060087597031
2019-10-08,1660.7825749634515,1003.3525749634515
2019-10-09,1661.129213502498,1003.6992135024981
2019-10-10,1661.4759243919402,1004.0459243919403
2019-10-11,1661.8227076468795,1004.3927076468796
2019-10-14,1662.1695632824196,1004.7395632824197
2019-10-15,1662.516491313668,1005.086491313668
2019-10-16,1662.8634917557351,1005.4334917557352
2019-10-17,1663.2105646237346,1005.7805646237347
2019-10-18,1663.557709932783,1006.127709932783
2019-10-21,1663.9049276980004,1006.4749276980004
2019-10-22,1664.2522179345096,1006.8222179345097
2019-10-23,1664.5995806574372,1007.1695806574372
2019-10-24,1664.947015881912,1007.517015881912
2019-10-25,1665.2945236230669,1007.8645236230669
2019-10-28,1665.6421038960375,1008.2121038960375
2019-10-29,1665.9897567159628,1008.5597567159629
2019-10-30,1666.3374820979845,1008.9074820979846
2019-10-31,1666.685280057248,1009.2552800572481
2019-11-01,1667.001700257667,1009.571700257667
2019-11-04,1667.3181805304607,1009.8881805304608
2019-11-05,1667.6347208870343,1010.2047208870343
2019-11-06,1667.9513213387947,1010.5213213387948
2019-11-07,1668.2679818971508,1010.8379818971508
2019-11-08,1668.584702573514,1011.1547025735141
2019-11-11,1668.9014833792976,1011.4714833792976
2019-11-12,1669.218324325917,1011.788324325917
2019-11-13,1669.53522542479,1012.1052254247901
2019-11-14,1669.8521866873368,1012.4221866873369
2019-11-18,1670.1692081249794,1012.7392081249794
2019-11-19,1670.4862897491416,1013.0562897491417
2019-11-20,1670.8034315712505,1013.3734315712505
2019-11-21,1671.1206336027342,1013.6906336027342
2019-11-22,1671.4378958550235,1014.0078958550235
2019-11-25,1671.7552183395514,1014.3252183395515
2019-11-26,1672.072601067753,1014.6426010677532
2019-11-27,1672.3900440510658,1014.9600440510659
2019-11-28,1672.7075473009288,1015.2775473009289
2019-11-29,1673.025110828784,1015.595110828784
2019-12-02,1673.3427346460744,1015.9127346460745
2019-12-03,1673.660418764247,1016.230418764247
2019-12-04,1673.9781631947492,1016.5481631947492
2019-12-05,1674.2959679490318,1016.8659679490319
2019-12-06,1674.6138330385468,1017.1838330385468
2019-12-09,1674.9317584747491,1017.5017584747492
2019-12-10,1675.2497442690956,1017.8197442690956
2019-12-11,1675.5677904330448,1018.1377904330449
2019-12-12,1675.8858969780583,1018.4558969780584
2019-12-13,1676.172289118993,1018.742289118993
2019-12-16,1676.4587302014804,1019.0287302014805
2019-12-17,1676.7452202338843,1019.3152202338844
2019-12-18,1677.03175922457,1019.60175922457
2019-12-19,1677.3183471819036,1019.8883471819037
2019-12-20,1677.6049841142533,1020.1749841142533
2019-12-23,1677.8916700299885,1020.4616700299886
2019-12-24,1678.1784049374799,1020.7484049374799
2019-12-26,1678.4651888450994,1021.0351888450995
2019-12-27,1678.7520217612212,1021.3220217612212
2019-12-30,1679.0389036942197,1021.6089036942197
2019-12-31,1679.325834652472,1021.895834652472
2020-01-02,1679.6128146443552,1022.1828146443553
2020-01-03,1679.8998436782497,1022.4698436782497
2020-01-06,1680.1869217625358,1022.7569217625359
2020-01-07,1680.4740489055957,1023.0440489055958
2020-01-08,1680.7612251158132,1023.3312251158133
2020-01-09,1681.048450401573,1023.6184504015731
2020-01-10,1681.3357247712622,1023.9057247712623
2020-01-13,1681.623048233268,1024.1930482332682
2020-01-14,1681.9104207959804,1024.4804207959805
2020-01-15,1682.19784246779,1024.7678424677902
2020-01-16,1682.485313257089,1025.055313257089
2020-01-17,1682.7728331722715,1025.3428331722716
2020-01-20,1683.0604022217321,1025.6304022217323
2020-01-21,1683.3480204138677,1025.918020413868
2020-01-22,1683.6356877570763,1026.2056877570762
2020-01-23,1683.923404259757,1026.493404259757
2020-01-24,1684.211169930311,1026.781169930311
2020-01-27,1684.4989847771403,1027.0689847771405
2020-01-28,1684.7868488086485,1027.3568488086485
2020-01-29,1685.0747620332413,1027.6447620332415
2020-01-30,1685.362724459325,1027.932724459325
2020-01-31,1685.6507360953076,1028.2207360953075
2020-02-03,1685.9387969495988,1028.508796949599
2020-02-04,1686.2269070306095,1028.7969070306094
2020-02-05,1686.5150663467516,1029.0850663467518
2020-02-06,1686.8032749064396,1029.3732749064397
2020-02-07,1687.0754743509112,1029.6454743509112
2020-02-10,1687.3477177202076,1029.9177177202077
2020-02-11,1687.620005021416,1030.1900050214163
2020-02-12,1687.8923362616265,1030.4623362616267
2020-02-13,1688.1647114479292,1030.7347114479294
2020-02-14,1688.4371305874156,1031.0071305874158
2020-02-17,1688.7095936871785,1031.2795936871785
2020-02-18,1688.9821007543117,1031.5521007543116
2020-02-19,1689.2546517959104,1031.8246517959105
2020-02-20,1689.5272468190708,1032.0972468190707
2020-02-21,1689.7998858308904,1032.3698858308903
2020-02-26,1690.072568838467,1032.642568838467
2020-02-27,1690.3452958489006,1032.9152958489008
2020-02-28,1690.6180668692916,1033.1880668692916
2020-03-02,1690.8908819067426,1033.4608819067425
2020-03-03,1691.1637409683558,1033.733740968356
2020-03-04,1691.4366440612362,1034.0066440612363
2020-03-05,1691.7095911924885,1034.2795911924886
2020-03-06,1691.9825823692192,1034.5525823692192
2020-03-09,1692.2556175985362,1034.8256175985362
2020-03-10,1692.5286968875482,1035.0986968875482
2020-03-11,1692.8018202433652,1035.3718202433652
2020-03-12,1693.074987673098,1035.644987673098
2020-03-13,1693.3481991838587,1035.9181991838586
2020-03-16,1693.621454782761,1036.191454782761
2020-03-17,1693.8947544769196,1036.4647544769196
2020-03-18,1694.1680982734495,1036.7380982734494
2020-03-19,1694.441486179468,1037.0114861794682
2020-03-20,1694.6825543697068,1037.252554369707
